premise,hypothesis,genre,label
i but i would not physically do the work because i worked every night after after working all day in the in the plant and then weekends all your weekends were tied up and it took me about oh a little over seven months to finish it which i thought was pretty good,"Even though I work every day in the plant, it only took about 7 months to finish.",telephone,0
"For making reservations, Portugal's country code is 351; the prefix for Madeira is 291.",Portugal and Madeira have country codes for reservations.,travel,0
You had your pistol resting on your knee.,A while ago there was a pistol resting on your knee.,fiction,0
"Across the little clearing, Malok began backing quietly away, carefully not looking upwards.","Malok backed away, making sure to not look up at all.",fiction,0
yeah oh that sounds fantastic,That sounds great!,telephone,0
and there's there's less maintenance,There happens to be less maintenance.,telephone,0
yeah he's been there for since i left,he's been there since I left.,telephone,0
"It makes me home-sick.""",It makes me have sentimental feelings about home.,fiction,0
Commit to the long haul.,Commit to the long term.,government,0
The merchant cocked back a silver dragonhead resting on the back of the wooden handle and squeezed his index finger.,The storeowner held something in his hand.,fiction,0
"If they had hurt Susan, he would kill every one of them himself.",He would kill them all if they had hurt Susan.,fiction,0
"Instead, such interpretations would simply promote the exploitation of vulnerable, low income aliens.","Interpretations would promoted exploitation of vulnerable, low-income aliens.",government,0
he has one called The Ninja,He possesses The Ninja.,telephone,0
You can explore for yourself by diving at the site; contact Morgan's Harbour Hotel for more details.,You may dive at the site by yourself.,travel,0
"Mount Sinai has drawn pilgrims for generations and it was endowed with a Christian place of worship as early as a.d. 527, when Emperor Justinian built a small orthodox monastery in the lea of the mountain surrounded by sheer rock faces.",Emperor Justinian was an emperor in the 6th century. ,travel,0
you know it an ounce what do they say an ounce of hind sight is worth you know whatever whatever they they,"You know the saying, an ounce of hind sight is worth whatever.",telephone,0
Don't underestimate newcomers to the ring.,Don't discount the rookies to the ring.,travel,0
Then they get cut off again.,The connection is ended.,fiction,0
it's called the clothes closet that's what it's called here in Plano right uh-huh and they distribute them to the people that need them,Plano has a place called The Clothes Closet that distributes items to needy people. ,telephone,0
yeah i don't know what else they could recycle more of i guess we don't really use that many tin cans i guess there's some places where you can recycle aluminum but i don't know about like cans that you keep vegetables and stuff in i don't know if those are recyclable or,I don't know if cans that contained vegetables are recyclable. ,telephone,0
especially i felt like there was a camera watching,I felt like I was being observed.,telephone,0
Numerous new monasteries and churches were built.,New buildings included monasteries and churches.,travel,0
"Praise goes to Kirstie Alley, who plays an aging ex-model now in the lingerie  Less frenetic than Lucy, more mature than Mary (Richard Corliss, Time ). The Washington Post 's Tom Shales dissents, calling Alley unwatchably neurotic and in a virtually perpetual feverish tizzy.",Tom Shales works for the Washington Post.,slate,0
"Within them, an endless inventory of shapes and rhythms appears.",Figures and patterns flow freely in their minds.,slate,0
"Hong Kong has some of the most luxurious hotels in the world, with representatives from all the major international chains.",Hong Kong has many luxurious hotels.,travel,0
oh is she still there,"She is there, still?",telephone,0
show them Independence Hall the Liberty Bell and uh Franklin uh,Bring them to Independence Hall and the Liberty Bell.,telephone,0
well i think basically they can't figure out what they want down there,I think they can't decide they want down there.,telephone,0
"As opposed to very, very, very bad.",The alternative would be horrible.,fiction,0
"Oh, Just Give the Damn Answer",Just give the answer.,slate,0
right now we've recycled glass for years because years because we have a glass industry in our community,We have recycled glass for a while now.,telephone,0
um-hum they slipped that in on us when we're not looking,They added that when we weren't expecting it.,telephone,0
"Well, did she or didn't she?",I don't know if she did or didn't it.,slate,0
This led to a major redesign of the common missile warning system's sensor.,Some changes were made to the common missile warning system's sensor.,government,0
Saving time on administrative processes frees staff to perform the principal mission of the laboratory.,The laboratory's principal mission is not administrative processing.,government,0
outrageous prices yeah,Outrageous prices,telephone,0
"For example, the AIM-9X and the F/A-18E/F captured design and manufacturing knowledge by key decision points and limited cost increases to 4 percent or less and schedule growth to 3 months or less.","Growth is to be scheduled to 3 months or less, in other words, 90 days or less.",government,0
Providing resources in the emergency setting has implications for the primary care setting.,The primary care setting will suffer implications when provided resources.,government,0
It was in my mind when I asked Mr. Wells that first question about the will. ,I asked Mr. Wells about the will.,fiction,0
yeah well do they share rooms in nursing homes,They share rooms in nursing homes.,telephone,0
i think there's another car coming in it's supposed to come out and compete with that Miata and i can't remember what i read about that but so that's interesting i mean i would think somebody would try to compete with that because it is very popular so,"Someone would try to compete with Miata because it is so popular, so someone is. ",telephone,0
The Justice Department established its gain-sharing program at the beginning of fiscal year 1996.,The Justice Department established their gain-sharing program at the beginning of 1996.,government,0
oh it is huh,oh it is.,telephone,0
"'Everybody, move in here!'","'Move in here, everybody!'",fiction,0
There are many regulations in place that will reduce air emissions from electric power generation.,There are a lot of regulations in place that reduce emissions.,government,0
you're kidding oh that's interesting,Oh that's interesting,telephone,0
The coffee was never drunk. ,No one drank the coffee. ,fiction,0
"Finally, in 1936, a large section of the army under General Francisco Franco rose in revolt against the government.",In 1936 a big portion of General Francisco Franco's army came up against the government.,travel,0
If it is greater than one revenues fall.,Revenues can go down.,government,0
That night he was scheduled to accept the Award for the Site of the Year in a competition sponsored by 'Przekobiz' (he didn't have the patience to wait for 'Inzapbiz').,Przekobiz sponsored a competition for Site of the Year,fiction,0
We have paid our dues.,We have done our part.,slate,0
"'Listen,' White briefly met my gaze.",White spoke while looking in my eyes. ,fiction,0
"Legendary hummous, with very little else on the menu.",The menu has little else other than hummus.,travel,0
My wife of eight years is starting to make me wonder if she is mature enough to even be married.,My wife is immature.,slate,0
The amount of time available for the,The available time for something or someone.,government,0
The market tumbled in anticipation of an economy-cooling rise in interest rates at the Fed's upcoming meeting.,The market thought the Fed would raise interest rates.,slate,0
"However, the end of the golden age was drawing near.",The golden age was coming to an end.,travel,0
Previous applications have arrived at a single value per life year based on the discounted stream of values that correspond to the VSL for a 40 year old worker (U.S.,A single value per life year has been determined.,government,0
i've been fortunate enough not to but i mean you could go down there half dead and still wait you know it's hard to see a doctor from what i've heard,I've been lucky because I've never had to go down there to see a doctor.,telephone,0
I would like to suggest that the research for Michael Brus'  (In the Event of a Water Landing) was lacking.,I want to say that the research for Michael Brus' wasn't enough.,slate,0
"In the same area, however, right alongside the Egyptian border, are the best beaches and the most outstanding underwater scenery in the whole country.",The best beaches in the country are near the Egyptian border.  ,travel,0
"I ”never looked.""",I never looked.,fiction,0
This pope often violates what was taught for many centuries as holy tradition without any kind of respect for those of us who lived under the old church.,The pope often goes against the church's traditions.,slate,0
Let me explain.',Let me talk and show you what I mean.,fiction,0
Levesh and Palazzolo both bring experience in representing domestic violence victims.,Palazzolo and Levesh both bring experience in representing domestic violence victims.,government,0
"Some houses--big and small--have trimmed their lists, consulting closely with the chains to determine what is commercial, and have seen their profits and sales rise.",There has been an increase in the amount of sales and money made.,slate,0
"Beyond the modern ferry port, a 350-metre (1,050-foot) causeway connects Kuradase to Gevercin Adase (Pigeon Island), which is topped by a 13th-century Byzantine castle and ringed with gardens and colourful cafe.",Kuradase is connected to Gevercin Adase by a causeway that stretches over 1000 feet.,travel,0
"Of the many bridges that croseit, two are noteworthy.",Some of the bridges that cross it are not noteworthy. ,travel,0
well they still have snow on the ground through March and probably part of April sometimes,They still have snow on the ground through March and sometimes April.,telephone,0
Leading organizations assess their IT skills on an ongoing basis to determine what expertise is needed to meet current responsibilities and support future initiatives.,Organizations who assess their IT skills continuously are in the lead. ,government,0
what are what are you taking in school i didn't ask you that,I don't think I asked what you're taking in school.,telephone,0
"I got out of the lab, onto the street, and prayed for a quiet night.",After leaving the lab I got home and hoped for a quiet night.,fiction,0
so i guess a good question to ask is do you do your own work or do you do you like to do it,Do you like to do your own work?,telephone,0
well i think it's a great concept but i think you've uh you've left too many uh uh i'm a supervisor and i approve i approve the uh the thing it it just doesn't make logical sense you know in other words,"I approve of the concept, but it doesn't make logical sense.",telephone,0
"In the northern Aegean are three more disparate islands Thasos, Limnos, and Samothraki while southwest of these, closer to Athens, are the Sporades islands of Skiathos, Skopelos, Alonissos, and Skyros until recently the exclusive playground of the Greek jet set.",There are three islands in the northern Aegean.,travel,0
"As I noted earlier, the state planning initiative was a huge shift in thinking for the legal services community.",The state planning initiative was a huge change in view for the legal service community. ,government,0
"Under review were programs in Florida, Alabama, Arkansas, New Jersey, Nevada, Pennsylvania, Oklahoma, Massachusetts, and Ohio.","Programs in Florida, Alabama, Arkansas, New Jersey, Nevada, Pennsylvania Oklahoma, Massachusetts and OHio are under review.",government,0
"Mr. Barnes said he already has his first case, but he wouldn't say what it is.",Barnes would not give details about his case.,government,0
oh the worst kind yeah yeah,"Yeah, the worst type.",telephone,0
"45 billion, successfully transitioning the government in an endeavor of this scale will take considerable time and",A government program this big would take a very long time to transition.,government,0
Mont-Saint-Michel,Mont Saint Michel.,travel,0
Screening for alcohol problems in the emergency department.,It is necessary to detect alcohol problems in the emergency department,government,0
like a nice aquarium,This is similar to a nice aquarium.,telephone,0
"If you can't get a lawyer, you can't afford to be poor.",Litigation is a problem if you're poor.,government,0
"Although he lauds his counterpart, Iwasaki, and the Long Beach community for their ideal marriage, Dudovitz had no regrets about his own stormy rise to power.",His counterpart is Iwasaki.,government,0
"Susan, he thought again and again nothing.",He thought about Susan. ,fiction,0
kind of scary,Quite frightening.,telephone,0
"Once again she admitted to herself that she was afraid, horribly afraid, of the beautiful woman with the cruel eyes.",She admitted to herself that the gorgeous yet cruel-eyed woman terrified her,fiction,0
"During one phase of the French Revolution, a guillotine shortened many lives here, though the fact is deliberately forgotten by the boys eyeing the girls pretending to ignore the boys.",The thought of the guillotine shortening lives during the French Revolution was overshadowed though the simplicity of boys eyeing girls.,travel,0
Is that wrong?,Is that not right?,slate,0
uh and it's pretty difficult to deal with some of the issues lets say that Texas uh Texas State uh Railroad Commission has to solve when you don't even fathom what the implications are of they're decision so who would you care who got in that position you know,Texas State Railroad Commission has an elected position.,telephone,0
Mr. Carter must be warned.,It is Mr. Carter who should be warned. ,fiction,0
"The Arboretum of Los Angeles County (301 North Baldwin Ave. ) is here, nurturing plants from every part of the world.",There are plants from all over the world at the Arboretum of Los Angeles County.,travel,0
ha we're not suppose to do this  i i can i'm from originally from Beaver County oh my God,I'm from Beaver County.,telephone,0
It is worthwhile to rent a car so you can go at your own pace.,It's worth being able to go at a pace you prefer.,travel,0
"On the filming of Titanic , she told Classic FM magazine that for the first time in my life on a film set I was thinking, 'I wish I wasn't here.","While filming ""Titanic"", she felt great sadness at the fact she was there.",slate,0
Keyes said the nation was in  the worst moral crisis it's ever faced.,The nation is in the worst moral crisis it has ever faced according to Keyes.,slate,0
"Conley, after becoming a kind of national clearinghouse for complaints about sexism in medical schools, traveled the college circuit to discuss flaws in both theory and practice of medical instruction.",Conley has been complaining about sexism in medical schools.,slate,0
"With a domed sikhara on each shrine, the temple's overall effect remains horizontal in the style of the Hoysala kingdom, emphasized by the layers of narrow, parallel carved friezes running around the walls.",The shrines of the temple are decorated with friezes on the walls,travel,0
"Those nostalgic for the British Empire please Clive Road has been named Tyagraja, Queen Victoria Road has become Rajendra Prasad, and Curzon is Kasturba Gandhi.",Rajendra Prasad used to be called Queen Victoria Road.,travel,0
i agree get them out there,I agree with getting them out there.,telephone,0
Something in their eyes put Ca'daan on guard.,There was something sinister in their eyes and Ca'daan was on guard.,fiction,0
The attacker faced Drew directly.,Drew was faced by the attacker.,fiction,0
I'll fill you in on anything you need to know before you're assigned.,I'll give you the information before you get your assignment.,fiction,0
and if they were uh if if  if i had no doubt that uh they would be a hazard to to the rest of uh the population as long as they were alive uh yeah i could probably go along with that,I could do it if I knew that they would be dangerous to society.,telephone,0
"For example, the utility company had distilled the fundamental components of its information protection policies into less than one page of text.",The utility company was able to fit their policies in less than one page of text.,government,0
Regional Modeling System for Aerosols and Deposition (REMSAD),A system for modeling aerosols and deposition.,government,0
