premise,hypothesis,genre,label
"We've got plenty to go with for the present, but when we want more  ""","We want more to go for the present, said the rich kids",fiction,1
Even those areas that would not be brought into attainment by these caps would need significantly fewer emission reductions to come into attainment.,Areas that can't be capped would need fewer emissions reductions because of complicated technology.,government,1
"Don't count out Orrin Hatch, Orrin Hatch answered, Bob Dole-style.",Orrin Hatch feels that there are better people to count on.,slate,1
6) The pact will promote fiscal irresponsibility by reducing stern German domination of European fiscal policy.,The pact would reduce Germany's exports in European fiscal policy.,slate,1
"After all, they don't offer employees car insurance.",This company does not offer car insurance for their employees as this cost too much for it to be cost effective.,slate,1
"The park also boasts the tallest obelisk in Europe in the 67-m (220-ft) Wellington Monument, erected in 1861 after the victory of Waterloo.",The obelisk in the park is 500 feet shorter than the largest Obelisk in the world.,travel,1
"Continuing along 25 August Street leads to the waterfront and the majestic sight of the Venetian fortress (Koeles), built to protect the old harbor.",The majestic Venetian fortress (Koeles) is a popular tourist destination.,travel,1
"The big one was mine, the guy you bluffed.",The big one you bluffed was also my friend. ,fiction,1
yeah see that's what,Do you see what I mean?,telephone,1
Chapter 2 of this exposure draft discusses nonaudit services provided by audit organizations that are not covered by GAGAS.,The GAGAS needs to work on providing more coverage. ,government,1
all they're giving you back is a little bit of the interest you paid in,The interest rate you pay is high. ,telephone,1
They are also trained to detect evidence of domestic violence in a home.,They are able to detect domestic violence.,government,1
Managers in the different lines of business were unwilling to share information resources because each felt his or her particular line of business was unique.,Each business operation is unique ,government,1
"Perhaps way, way back in human history, when our forebears were still fleeing saber-toothed tigers, natural selection for athletic prowess came into play.",Maybe natural selection got rid of alll the weak people.,slate,1
"According to BLM officials, BLM is planning to revise the performance elements in its senior executive performance plans for the 2002 performance appraisal cycle to reflect the priorities of BLM and the Department of the Interior.",BLM officials aren't completely truthful about their plans.,government,1
GAGAS require additional field work standards for attestation engagements in the following ,The additional field work will require about 40 hours to be spent on such.,government,1
I beg for your service in protecting my home village from red murderers who threaten us.,I need help for our five hundred residents.,fiction,1
"It's a challenge, but many say that you haven't seen the Lakes unless you've traveled this road.",You can take a tour for 50 euros.,travel,1
Summing  The Science of Reviewing Research.,The summary indicates that reviewing research is pretty great.,government,1
The Czech expat's second novel written in French causes some reviewers to proclaim his decline.,The book touched upon some controversial topics.,slate,1
"'Not bad,' Derry said, circling the Clone Tank.",There was a clone of Derry in the tank.,fiction,1
"Despite the large numbers who come to view the spring blossoms and the superb fall leaves, the Philosopher's Path is one of Kyoto's most tranquil and beloved strolls.",Lots of people go to see the blossoms in April.,travel,1
"In an overwhelming majority of instances, LSC has used the competitive bidding process to forge deeper bonds with its grantees and stakeholders, allowing LSC to serve as an active partner in planting the seeds of comprehensive, integrated state justice communities nationwide.",Crime rates have fallen in communities that LSC has invested in.,government,1
"You like, senor ...tequila ...whiskee ...food? ",You haven't eaten all day.,fiction,1
"The stock options market doesn't make it easier for companies to go public, or for existing companies to raise money.",The stock market is corrupt. ,slate,1
"That is, the effective rates--the actual taxes paid as a proportion of income--on the rich are higher than those on the middle class.",The effective rates are not popular with everyone.,slate,1
"To what extent the aggregate offset is due to the changes in interest rates, wealth, disposable personal income, expectations of future tax rates, or other reasons is ambiguous.",The reasons for how much the aggregate offset will be are very complicated.,government,1
The new translation of Homer's The Odyssey has whipped up so much fervor that Paul Gray in Time has proclaimed the existence of the Fagles phenomenon.,The new translation of The Odyssey by Home has whipped up enough fervor in its first week of release to cause Paul Gray to proclaim the existence of the Fagles.,slate,1
"A counterkidnapping industry now exists--you pay insurance, they handle negotiations and the drop.",Counterkidnapping insurance is incredibly expensive and only available to the wealthy.,slate,1
That's just it.,That is what has been going on.,fiction,1
