premise,hypothesis,genre,label
You have finished here?,Have you started at all?,fiction,2
"However, GAO will accept comments provided in hard copy, orally, or in an unsigned e-mail message.",Unsigned email messages are not accepted for comments.,government,2
"Along this elegant avenue is Government House, a modest pink palace.",The Government House is a hovel painted in a shocking shade of orange.,travel,2
"Today this is one of the most congested streets in Kathmandu, and the exhaust fumes from trucks, tuk-tuks, and buses can be overwhelming.","Today the street is completely empty, most people left for vacation already.",travel,2
"On 12 April 1782, in the sea channel near Guadeloupe's little off-shore islands of Les Saintes, a British fleet gained historic revenge against French Admiral de Grasse, of Yorktown fame, in a battle that is still talked about today.",The sea channel was near France's off-shore islands.,travel,2
LSC will provide regular feedback to programs and applicants on the quality of their applications.,The applicants and programs will receive absolutely no feedback of any kind.,government,2
"Additionally, Las Vegas had been made a part of Nevada's new Clark County in 1909, a year when the legislature also outlawed gambling.",Las Vegas was not considered part of Clark County until 1969.,travel,2
"With further refinements underway to improve reliability, this system will enable program leaders at all levels to provide Congress, client groups, state legislatures, bar leaders, courts, funders and other stakeholders with a more accurate picture of how many people are being served by LSC-funded programs.",This system is required for programs to receive LSC funding.,government,2
"Suppose, for the sake of argument, that in 1950 it becomes foreseeable that Daimler-Benz will eventually make reparations.",Daimler-Benz is required to make reparations in 1950.,slate,2
"And the fictional Winnie-the-Pooh was named for the real bear, a bear born in Canada who never relinquished his Canadian citizenship.",Winnie the Pooh was an original and creative name.,slate,2
Lee Iacocca stressed on the mini van uh i mean the mini van has been one of the best top of the line vehicles for Chrysler isn't it,Lee Iacocca hated the mini van.,telephone,2
O'Connell Street is the main city-center location for the big new-release cinemas.,O'Connell Street is on the edges of the city and doesn't have any theaters.,travel,2
"Most dramatic is the northern Porte d'Enfer (Gate of Hell), where the waves have sliced a huge chasm into the limestone shoreline.","The Port d'Enfer is a flat, featureless mesa.",travel,2
i'm just uh it irritates me the way people mistreat animals and and they don't do it intentionally they just they're just doing it they go out and they think oh wouldn't it be cute to get a kitty,People generally never abuse animals.,telephone,2
The Moors failed to penetrate much further north than Aveiro about halfway up the Atlantic Coast.,The Moors managed to penetrate far north of Aveiro. ,travel,2
The Commission also adjusted its burden estimate in response to issues raised by commenters.,The Commission did not adjust the estimate due to commenters.,government,2
yeah it's really it's really sad because they're they're not doing anything well we're getting off the subject i guess but just like with housing i mean they're not doing anything about pollution they're not doing anything about it's going to look like Houston have you ever been to Houston,They are working very hard to eliminate pollution. ,telephone,2
"?! Onardo, supported by the fixated eyes from the table next to theirs, tried to force a quick answer.",Onardo did not try to force a quick answer.,fiction,2
"At that moment, we heard footsteps outside, and Dr. Wilkins, Mrs. Inglethorp's own doctor, a portly, fussy little man, came bustling in. ",Dr. Wilkins never arrived. ,fiction,2
on no young people like to swing real hard at the ball,Young people are weak and cannot swing hard.,telephone,2
yeah well i know my mom from a family of at least sixteen i've lost count uh and my grandmother just died sometime last well about two years ago,I know my mom only had one sibling.,telephone,2
"For a moment she struggled for self-control, and then abandoning all presence, she held it to her lips and burst into a fit of sobbing.",She turned her head and refused to let it touch any part of her face.,fiction,2
no that's true i i just don't know when i'm ever it just seems like there's just never enough time to pick it up and do it you know it's just really hard but i really do en like i said i really enjoy it when i do it's just hard,It is super simple to pick up and execute.,telephone,2
"Twenty-five years ago, our government made a pledge to help ensure that all persons have access to America's civil justice system by enacting legislation that created Legal Services Corporation.",The government pledged to make sure only the rich had access to the civil justice system.,government,2
and one was a skirt and one was a pant and uh and i think that's sad because that doesn't allow for any individuality,A choice between a skirt and pants is sufficient.,telephone,2
"Is he or ain't he gonna sign me on?""Drew, lying flat, stared up at the muslin-covered ceiling which years of dust had turned to yellow-brown.",I don't want him to sign me on.,fiction,2
"If you didn't stop to find out why useful business cycle models still need to incorporate sticky prices, click here. And if you missed the article by Robert Samuelson on macroeconomic analysis, click here.",Don't click here if you want to find out why useful business cycle models still need to incorporate sticky prices.,slate,2
Turn off on Contri Porti for others.,Leave Contri Porti to see the others.,travel,2
"In addition, the National Trust produces a free Lake User's Guide for the following Ullswater, Coniston, Windermere, Bassenthwaite, and Derwent Water; these booklets have all the information you need to enjoy the water safely.",The National Trust is not concerned with your safety.,travel,2
uh-huh but then um like i know this girl she's doing her student teaching or she's just working like within the school and um yesterday she was at the kindergarten and there's this little boy he like didn't want to do anything and he said i'm not doing this i don't like it and he sat at his desk with two pencils in his hand and pretend like he's playing Nintendo,He pretended like he was using a Playstation 4.,telephone,2
"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",The New Disclosure Option final rule gives mutual fund customers little information.,government,2
that was even harder actually because it was you know it was just a change of,There was no change.,telephone,2
Two days later he dropped bedroll and saddlebags on the spare bunk at one end of the long adobe-walled room and studied his surroundings with deep curiosity.,He dropped his bedroll and saddlebags on the ground under a shady tree.,fiction,2
"The Kal soared into the air, war club back and high over his head.",The Kal soared through the air with a knife in his hand.,fiction,2
that's right it's easier after you're you don't have to worry about it,You do have to worry about that.,telephone,2
"And she remembers nothing, said Sir James slowly.",Sir Jones believes that she remembers nothing.,fiction,2
"Villagers are generally happy to see tourists, welcoming them with a certain friendly curiosity.",All tourists receive a hostile reception from villagers.,travel,2
"The Impact of  Clinger-Cohen Act Implementation, Laying the Foundation for Year 2000 and Beyond, Eighth Annual ITAA Survey of Federal CIOs, December 1997.",There is no book,government,2
The dynamics of the broadcasting system gave station programmers the right to use editorial judgment to exclude certain speech so that the broadcast message could be more effective.,The dynamics of the broadcasting system stripped station programmers of the ability to decide to exclude parts of speech.,government,2
"In the Gospels, Mary was present at Jesus's death (John 19:26).",Mary did not see Jesus's death.,travel,2
"The main shopping street of this little-visited city is Via XX Settembre west of the Piazza De Ferrari that constitutes the city's bustling modern center, where the city's historic quarters begin.",The city does not have a shopping district.,travel,2
"While other quarters are known for their palaces and churches, Montparnasse (named after a 17th-century gravel mound since removed) has cafe and bars for its landmarks, most of them along the Boulevard du the Closerie des Lilas; the Select, a Henry Miller hang-out; the Coupole, favorite of Sartre and Simone de Beauvoir; the D??me; and the Rotonde.",Sartre never visited Montparnasse.,travel,2
Thus reliance on financial records for audit backup would not be feasible.,Reliance on financial records for audit backups is totally feasible.,government,2
"Here, INS published a notice of proposed rulemaking on January 3, 1997, and received comments for 30 days, and therefore the good cause exception was not properly invoked.",INS published a notice of proposed rulemaking and didn't receive comments for 30 days.,government,2
they have a a new waterfront uh marina in Philadelphia it isn't as developed as uh Water Side in Norfolk or the Baltimore uh waterfront but uh the marina is only about uh two or three blocks from the historic district,Neither of the cities has a waterfront.,telephone,2
"Presented at the Conference on Postal and Delivery Economics, The Center for Research in Regulated Industries at Rutgers University, Vancouver, Canada, June 710, 2000 2 The writer is Special Assistant to the Postal Rate Commission, an independent regulatory agency of the United States Government.",The Postal Rate Commission is an internal regulatory agency of the US Government.,government,2
"These officials told us that Caterpillar maintains the philosophy of first getting the design right, then producing it as quickly and efficiently as possible.",The officials said that Caterpillar designs and produces the product several times before they get what they want.,government,2
"Waverley Street Shopping Centre, which sits on the corner of Princes Street, is where you will find the main Tourist Information Office.",The Tourist Information Office is located across the street from Waverley Street Shopping Centre. ,travel,2
Then you hear a public-service announcement of the sort the new HHS regulations encourage.,They were not aware of the regulations.,slate,2
You and your friends will augment our militia and protect our south road.,You and your friends will go on separate paths. ,fiction,2
So the Maastricht Treaty (the blueprint for European currency union) ensured that the budget-cutting it required would be all pain and no gain.,"By implementing the Maastricht Treaty, budget-cutting would be easy and yield many rewards.",slate,2
"Under the eaves, bundles of maize hang to dry along with large cucumbers.",The soil doesn't allow locals to cultivate cucumber.,travel,2
it's by Robert Magee and it's one that that we use in our work uh it's probably one you'd find in in like a Christian book store um,We don't use any of Robert Magee's work in our work.,telephone,2
"And younger generations are vastly more tolerant than their elders, suggesting these numbers will climb.",Old people are much more tolerant that the younger generations.,slate,2
"You can also stay overnight at Ein Gedi's modern kibbutz hotel, set in a botanical garden of exotic trees and plantings.",Ein Gedi's kibbutz hotel is in the middle of a shopping area.,travel,2
"Visitors may initially be drawn to the 88-story Petronas Twin Towers or the KL Communications Tower, which are potent symbols of modern Kuala Lumpur.",The Petronas Twin Towers are located in the heart of Bangkok.,travel,2
"The scepter and sword were each papal gifts, the former in 1494 and the latter in 1507; these reinforced the links between Scotland and Rome.",The sword was given in 1840.,travel,2
Would the ethics cops have complained?,Would the traffic cops have complained much?,slate,2
The NYT features a sprawling op-ed by Tom Clancy called Know the Answers Before Going to War.,Tom Clan has never created a sprawling op-ed.,slate,2
we could be just lifelong students,It's not possible for us to be lifelong students.,telephone,2
This is a reasonable approach when processes are new or unique.,The approach is best suited for old processes.,government,2
"Rather than take a pollutant-by-pollutant, problem-by-problem approach, we have the opportunity to examine the sector as a whole.",The sector must be looked at in a problem by problem approach; we cannot look at it as a whole.,government,2
But to participate in societies that one perceives to be civil adds much to the pleasure of life.,The civility of a society has nothing to do with the thoughts and feelings of its participants.,slate,2
"Nothing can bring her back to life, but we do hope, if there has been foul play, to bring the murderer to justice.""",She can be resurrected. ,fiction,2
she is she she's gorgeous she is four months old,The four month old child is disgusting and ugly.,telephone,2
yeah they do kind of follow or,They don't follow anything; they are standalone. ,telephone,2
"So long as we don't know, we can't really judge.","Let's just go ahead and judge, whether we know or not.",slate,2
"The help, although late, has earned Dudovitz some appreciation.",The early help earned Dudovitz some appreciation.,government,2
There are several reasons why such a relationship might be difficult.,Such relationships are free of difficulty.,government,2
"Runaways or not, they will put up a fight.","They are runaways, and are therefore weak.",fiction,2
"Gore, by contrast, smoked pot, worked construction, attended divinity school, and muckraked at a Tennessee newspaper.","Similarly, Gore never smoked marijuana and never had a laborious job.",slate,2
on that one day i mean you know of course you always have severe weather somewhere but there was more of it on that one day than ever recorded before over four hundred reports of tornadoes hail and heavy winds,"That one day was especially calm, even though the weather service had predicted severe weather.",telephone,2
The Dead Sea is by far the lowest point of land in the world.,The title of The Dead Sea being the lowest point of land in the world was just overturned.,travel,2
Jon wondered for a moment how lucky they had been to pick the right spot for their retreat until the answer came to him.,Jon never figured out how they'd gotten that spot.,fiction,2
"Some phone companies are offering test trials of a new technology, ADSL , or asymmetric digital subscription line.","So far, ADSL has never been used in practice. ",slate,2
"Several historical buildings lead off Canongate, and a number have interesting stories to tell.",There are no historical buildings leading off Canongate.,travel,2
 Federal Communications  Policies and Rules Concerning Children's Television Programming/Revision of Programming Policies for Television Broadcast Stations,There are no policies for television broadcast stations.,government,2
And there are other possibilities. ,There was only the one answer. ,fiction,2
